Key,Test,# Trips,# Vehicles,Solution Mode,Time window (min),weight,Algorithm,Objective type,Objective value,# Served customers,# Rejected customers,Average profit ($),Total profit,Average revenue ($),Total revenue,Total cost($),Total wait time (min),Avg. wait time (min),Empty travel time (min),% of Service,runtime (s)
3-High_1_1_tp,3-High_1,158,25,offline,1,1,MIP_Solver,total_profit,1168.41,74,84,15.79,1168.41,17.62,1303.75,135.34,91.74,0.58,320.37,46.8,13.761
3-High_1_3_tp,3-High_1,158,25,offline,3,1,MIP_Solver,total_profit,1265.23,80,78,15.82,1265.23,17.61,1409.1,143.87,304.87,1.93,317.28,50.6,14.387
3-High_1_6_tp,3-High_1,158,25,offline,6,1,MIP_Solver,total_profit,1355.77,87,71,15.58,1355.77,17.32,1506.63,150.87,640.95,4.06,303.75,55.1,16.994
3-High_1_1_wt,3-High_1,158,25,offline,1,1,MIP_Solver,waiting_time,72.38,88,70,10.65,936.93,12.08,1062.9,125.97,72.38,0.46,448.75,55.7,14.274
3-High_1_3_wt,3-High_1,158,25,offline,3,1,MIP_Solver,waiting_time,207.78,92,66,10.71,984.97,12.09,1112.58,127.61,207.78,1.32,418.73,58.2,14.821
3-High_1_6_wt,3-High_1,158,25,offline,6,1,MIP_Solver,waiting_time,398.82,97,61,10.75,1042.58,12.11,1174.51,131.93,398.82,2.52,408.67,61.4,16.128
3-High_1_1_nc,3-High_1,158,25,offline,1,1,MIP_Solver,total_customers,89.0,89,69,10.42,927.5,11.87,1056.75,129.25,76.96,0.49,494.27,56.3,13.537
3-High_1_3_nc,3-High_1,158,25,offline,3,1,MIP_Solver,total_customers,99.0,99,59,11.06,1095.03,12.46,1233.83,138.8,257.42,1.63,431.73,62.7,12.943
3-High_1_6_nc,3-High_1,158,25,offline,6,1,MIP_Solver,total_customers,108.0,108,50,11.02,1189.98,12.41,1340.58,150.6,553.19,3.5,466.67,68.4,30.469
3-High_2_1_tp,3-High_2,156,25,offline,1,1,MIP_Solver,total_profit,1146.93,67,89,17.12,1146.93,19.06,1276.78,129.85,94.46,0.61,281.43,42.9,13.196
3-High_2_3_tp,3-High_2,156,25,offline,3,1,MIP_Solver,total_profit,1245.57,72,84,17.3,1245.57,19.2,1382.28,136.72,311.82,2.0,258.3,46.2,13.638
3-High_2_6_tp,3-High_2,156,25,offline,6,1,MIP_Solver,total_profit,1337.32,83,73,16.11,1337.32,17.94,1488.94,151.62,658.32,4.22,330.45,53.2,16.854
3-High_2_1_wt,3-High_2,156,25,offline,1,1,MIP_Solver,waiting_time,79.44,78,78,11.41,889.85,12.92,1007.45,117.6,79.44,0.51,403.75,50.0,13.427
3-High_2_3_wt,3-High_2,156,25,offline,3,1,MIP_Solver,waiting_time,225.6,86,70,10.9,937.72,12.35,1061.97,124.25,225.6,1.45,429.07,55.1,13.74
3-High_2_6_wt,3-High_2,156,25,offline,6,1,MIP_Solver,waiting_time,428.98,91,65,10.67,970.9,12.13,1103.45,132.55,428.98,2.75,487.17,58.3,16.57
3-High_2_1_nc,3-High_2,156,25,offline,1,1,MIP_Solver,total_customers,79.0,79,77,11.32,894.13,12.89,1018.14,124.01,84.28,0.54,469.97,50.6,13.176
3-High_2_3_nc,3-High_2,156,25,offline,3,1,MIP_Solver,total_customers,91.0,91,65,10.82,984.74,12.3,1119.39,134.64,275.56,1.77,496.35,58.3,13.112
3-High_2_6_nc,3-High_2,156,25,offline,6,1,MIP_Solver,total_customers,99.0,99,57,11.32,1120.48,12.77,1263.9,143.42,549.11,3.52,457.17,63.5,14.88
3-High_3_1_tp,3-High_3,158,25,offline,1,1,MIP_Solver,total_profit,1191.88,75,83,15.89,1191.88,17.69,1327.1,135.22,89.37,0.57,295.6,47.5,15.968
3-High_3_3_tp,3-High_3,158,25,offline,3,1,MIP_Solver,total_profit,1258.87,80,78,15.74,1258.87,17.54,1403.17,144.29,288.88,1.83,328.35,50.6,16.099
3-High_3_6_tp,3-High_3,158,25,offline,6,1,MIP_Solver,total_profit,1364.76,89,69,15.33,1364.76,17.07,1519.4,154.63,612.88,3.88,336.22,56.3,18.549
3-High_3_1_wt,3-High_3,158,25,offline,1,1,MIP_Solver,waiting_time,71.04,88,70,11.25,990.26,12.69,1116.48,126.21,71.04,0.45,398.08,55.7,15.009
3-High_3_3_wt,3-High_3,158,25,offline,3,1,MIP_Solver,waiting_time,208.66,90,68,11.14,1002.24,12.51,1125.81,123.57,208.66,1.32,357.0,57.0,15.336
3-High_3_6_wt,3-High_3,158,25,offline,6,1,MIP_Solver,waiting_time,400.63,98,60,11.21,1098.98,12.59,1233.44,134.46,400.63,2.54,380.12,62.0,14.919
3-High_3_1_nc,3-High_3,158,25,offline,1,1,MIP_Solver,total_customers,89.0,89,69,10.95,974.95,12.4,1103.98,129.03,76.74,0.49,444.35,56.3,14.472
3-High_3_3_nc,3-High_3,158,25,offline,3,1,MIP_Solver,total_customers,94.0,94,64,11.23,1055.99,12.71,1194.56,138.57,259.09,1.64,468.32,59.5,13.533
3-High_3_6_nc,3-High_3,158,25,offline,6,1,MIP_Solver,total_customers,106.0,106,52,11.16,1183.31,12.58,1333.98,150.67,558.83,3.54,474.05,67.1,14.196
