Key,Test,# Trips,# Vehicles,Solution Mode,Time window (min),Known portion (%),Destroy Method,weight,Competitive Ratio,Algorithm,Objective type,Objective value,# Served customers,# Rejected customers,Average profit ($),Total profit,Average revenue ($),Total revenue,Total cost($),Total wait time (min),Avg. wait time (min),Empty travel time (min),% of Service,runtime (s)
3-High_1_6_tp,3-High_1,158,25,partial_online,6,25.0,default,1,0.76,Re_Optimize,total_profit,1028.0,75,83,13.71,1028.0,15.38,1153.37,125.36,730.36,4.62,350.98,47.5,52.116
3-High_1_6_tp,3-High_1,158,25,partial_online,6,25.0,fix_variables,1,0.77,Re_Optimize,total_profit,1047.06,78,80,13.42,1047.06,15.04,1173.25,126.19,700.85,4.44,341.02,49.4,42.538
3-High_1_6_tp,3-High_1,158,25,partial_online,6,25.0,fix_arrivals,1,0.72,Re_Optimize,total_profit,978.54,76,82,12.88,978.54,14.44,1097.23,118.69,702.26,4.44,327.02,48.1,46.459
3-High_1_6_tp,3-High_1,158,25,partial_online,6,50.0,default,1,0.84,Re_Optimize,total_profit,1135.06,79,79,14.37,1135.06,16.18,1278.43,143.37,682.96,4.32,442.02,50.0,119.187
3-High_1_6_tp,3-High_1,158,25,partial_online,6,50.0,fix_variables,1,0.81,Re_Optimize,total_profit,1091.47,78,80,13.99,1091.47,15.74,1227.46,136.0,683.99,4.33,404.5,49.4,126.274
3-High_1_6_tp,3-High_1,158,25,partial_online,6,50.0,fix_arrivals,1,0.83,Re_Optimize,total_profit,1127.65,75,83,15.04,1127.65,16.88,1266.2,138.55,693.07,4.39,396.42,47.5,123.519
3-High_2_6_tp,3-High_2,156,25,partial_online,6,25.0,default,1,0.76,Re_Optimize,total_profit,1013.58,74,82,13.7,1013.58,15.34,1135.24,121.66,691.59,4.43,324.65,47.4,55.235
3-High_2_6_tp,3-High_2,156,25,partial_online,6,25.0,fix_variables,1,0.78,Re_Optimize,total_profit,1041.38,75,81,13.89,1041.38,15.52,1164.02,122.64,691.5,4.43,307.62,48.1,60.55
3-High_2_6_tp,3-High_2,156,25,partial_online,6,25.0,fix_arrivals,1,0.77,Re_Optimize,total_profit,1026.08,74,82,13.87,1026.08,15.5,1146.92,120.84,691.46,4.43,303.15,47.4,52.009
3-High_2_6_tp,3-High_2,156,25,partial_online,6,50.0,default,1,0.8,Re_Optimize,total_profit,1075.13,74,82,14.53,1075.13,16.36,1210.73,135.6,669.07,4.29,416.47,47.4,133.651
3-High_2_6_tp,3-High_2,156,25,partial_online,6,50.0,fix_variables,1,0.8,Re_Optimize,total_profit,1073.93,74,82,14.51,1073.93,16.27,1203.87,129.94,682.27,4.37,355.43,47.4,127.973
3-High_2_6_tp,3-High_2,156,25,partial_online,6,50.0,fix_arrivals,1,0.83,Re_Optimize,total_profit,1115.87,70,86,15.94,1115.87,17.94,1255.62,139.74,681.5,4.37,421.3,44.9,141.069
3-High_3_6_tp,3-High_3,158,25,partial_online,6,25.0,default,1,0.77,Re_Optimize,total_profit,1044.4,74,84,14.11,1044.4,15.84,1172.52,128.12,732.47,4.64,364.9,46.8,44.494
3-High_3_6_tp,3-High_3,158,25,partial_online,6,25.0,fix_variables,1,0.79,Re_Optimize,total_profit,1077.76,74,84,14.56,1077.76,16.29,1205.42,127.65,733.54,4.64,326.42,46.8,35.365
3-High_3_6_tp,3-High_3,158,25,partial_online,6,25.0,fix_arrivals,1,0.78,Re_Optimize,total_profit,1065.62,80,78,13.32,1065.62,14.88,1190.55,124.92,706.33,4.47,308.52,50.6,59.278
3-High_3_6_tp,3-High_3,158,25,partial_online,6,50.0,default,1,0.8,Re_Optimize,total_profit,1095.72,79,79,13.87,1095.72,15.59,1231.9,136.18,682.72,4.32,402.22,50.0,153.374
3-High_3_6_tp,3-High_3,158,25,partial_online,6,50.0,fix_variables,1,0.83,Re_Optimize,total_profit,1127.99,81,77,13.93,1127.99,15.68,1269.85,141.86,717.9,4.54,432.42,51.3,133.394
3-High_3_6_tp,3-High_3,158,25,partial_online,6,50.0,fix_arrivals,1,0.85,Re_Optimize,total_profit,1160.73,79,79,14.69,1160.73,16.53,1305.88,145.15,693.74,4.39,435.92,50.0,134.694
3-High_1_6_tp,3-High_1,158,25,advance_notice,6,,default,1,0.91,Re_Optimize,total_profit,1237.14,78,80,15.86,1237.14,17.76,1385.07,147.93,698.05,4.42,390.05,49.4,215.056
3-High_1_6_tp,3-High_1,158,25,advance_notice,6,,fix_variables,1,0.91,Re_Optimize,total_profit,1237.14,78,80,15.86,1237.14,17.76,1385.07,147.93,698.05,4.42,390.05,49.4,217.028
