Key,Test,# Trips,# Vehicles,Solution Mode,Time window (min),weight,Competitive Ratio,Algorithm,Objective type,Objective value,# Served customers,# Rejected customers,Average profit ($),Total profit,Average revenue ($),Total revenue,Total cost($),Total wait time (min),Avg. wait time (min),Empty travel time (min),% of Service,runtime (s)
3-High_1_1_tp,3-High_1,158,25,fully_online,1,1,0.23,Greedy,total_profit,265.02,17,141,15.59,265.02,17.01,289.12,24.09,143.83,0.91,0.0,10.8,0.012
3-High_1_3_tp,3-High_1,158,25,fully_online,3,1,0.47,Greedy,total_profit,594.12,44,114,13.5,594.12,14.84,652.98,58.86,406.05,2.57,53.38,27.8,0.027
3-High_1_6_tp,3-High_1,158,25,fully_online,6,1,0.73,Greedy,total_profit,989.95,79,79,12.53,989.95,13.91,1098.73,108.78,750.28,4.75,206.58,50.0,0.043
3-High_1_1_tp,3-High_1,158,25,advance_notice,1,1,0.85,Greedy,total_profit,990.01,80,78,12.38,990.01,13.89,1110.88,120.87,97.93,0.62,339.55,50.6,0.824
3-High_1_3_tp,3-High_1,158,25,advance_notice,3,1,0.89,Greedy,total_profit,1123.94,84,74,13.38,1123.94,14.98,1258.43,134.49,314.28,1.99,355.5,53.2,0.552
3-High_1_6_tp,3-High_1,158,25,advance_notice,6,1,0.87,Greedy,total_profit,1184.84,90,68,13.16,1184.84,14.71,1324.25,139.41,657.92,4.16,348.63,57.0,0.497
3-High_1_1_tp,3-High_1,158,25,fully_online,1,1,0.23,Random,total_profit,265.02,17,141,15.59,265.02,17.01,289.12,24.09,143.83,0.91,0.0,10.8,0.012
3-High_1_3_tp,3-High_1,158,25,fully_online,3,1,0.47,Random,total_profit,594.12,44,114,13.5,594.12,14.84,652.98,58.86,406.05,2.57,53.38,27.8,0.027
3-High_1_6_tp,3-High_1,158,25,fully_online,6,1,0.74,Random,total_profit,1007.21,79,79,12.75,1007.21,14.16,1118.7,111.49,744.91,4.71,219.13,50.0,0.044
3-High_1_1_tp,3-High_1,158,25,advance_notice,1,1,0.86,Random,total_profit,1005.34,76,82,13.23,1005.34,14.9,1132.28,126.95,106.94,0.68,391.07,48.1,0.585
3-High_1_3_tp,3-High_1,158,25,advance_notice,3,1,0.86,Random,total_profit,1092.04,84,74,13.0,1092.04,14.61,1227.53,135.49,327.53,2.07,398.3,53.2,0.396
3-High_1_6_tp,3-High_1,158,25,advance_notice,6,1,0.85,Random,total_profit,1146.38,93,65,12.33,1146.38,13.88,1290.63,144.25,688.56,4.36,440.33,58.9,0.355
3-High_1_1_tp,3-High_1,158,25,fully_online,1,1,0.23,Ranking,total_profit,265.02,17,141,15.59,265.02,17.01,289.12,24.09,143.83,0.91,0.0,10.8,0.012
3-High_1_3_tp,3-High_1,158,25,fully_online,3,1,0.45,Ranking,total_profit,567.78,42,116,13.52,567.78,14.86,624.25,56.47,409.45,2.59,53.37,26.6,0.027
3-High_1_6_tp,3-High_1,158,25,fully_online,6,1,0.7,Ranking,total_profit,942.5,73,85,12.91,942.5,14.38,1049.73,107.23,804.84,5.09,237.0,46.2,0.043
3-High_1_1_tp,3-High_1,158,25,advance_notice,1,1,0.86,Ranking,total_profit,999.79,75,83,13.33,999.79,14.95,1121.61,121.82,104.44,0.66,340.25,47.5,0.707
3-High_1_3_tp,3-High_1,158,25,advance_notice,3,1,0.86,Ranking,total_profit,1088.56,83,75,13.12,1088.56,14.73,1222.4,133.83,323.43,2.05,383.62,52.5,0.442
3-High_1_6_tp,3-High_1,158,25,advance_notice,6,1,0.87,Ranking,total_profit,1174.48,90,68,13.05,1174.48,14.65,1318.18,143.7,701.55,4.44,406.23,57.0,0.414
3-High_1_1_wt,3-High_1,158,25,fully_online,1,1,1.99,Greedy,waiting_time,143.83,17,141,15.59,265.02,17.01,289.12,24.09,143.83,0.91,0.0,10.8,0.012
3-High_1_3_wt,3-High_1,158,25,fully_online,3,1,1.94,Greedy,waiting_time,403.76,44,114,13.5,594.12,14.84,652.98,58.86,403.76,2.56,53.35,27.8,0.028
3-High_1_6_wt,3-High_1,158,25,fully_online,6,1,1.86,Greedy,waiting_time,740.44,81,77,12.87,1042.4,14.29,1157.23,114.83,740.44,4.69,220.67,51.3,0.044
3-High_1_1_wt,3-High_1,158,25,advance_notice,1,1,1.36,Greedy,waiting_time,98.19,77,81,13.1,1009.08,14.67,1129.68,120.6,98.19,0.62,317.5,48.7,0.884
3-High_1_3_wt,3-High_1,158,25,advance_notice,3,1,1.47,Greedy,waiting_time,305.88,83,75,13.23,1097.98,14.82,1229.73,131.75,305.88,1.94,351.28,52.5,0.563
3-High_1_6_wt,3-High_1,158,25,advance_notice,6,1,1.61,Greedy,waiting_time,642.29,91,67,13.15,1196.86,14.7,1337.87,141.0,642.29,4.07,354.18,57.6,0.443
3-High_1_1_wt,3-High_1,158,25,fully_online,1,1,1.99,Random,waiting_time,143.83,17,141,15.59,265.02,17.01,289.12,24.09,143.83,0.91,0.0,10.8,0.012
3-High_1_3_wt,3-High_1,158,25,fully_online,3,1,1.97,Random,waiting_time,409.45,42,116,13.52,567.78,14.86,624.25,56.47,409.45,2.59,53.37,26.6,0.028
3-High_1_6_wt,3-High_1,158,25,fully_online,6,1,1.93,Random,waiting_time,770.67,80,78,12.83,1026.1,14.28,1142.33,116.23,770.67,4.88,252.43,50.6,0.045
3-High_1_1_wt,3-High_1,158,25,advance_notice,1,1,1.5,Random,waiting_time,108.71,77,81,13.27,1021.53,14.93,1149.85,128.32,108.71,0.69,390.0,48.7,0.668
3-High_1_3_wt,3-High_1,158,25,advance_notice,3,1,1.56,Random,waiting_time,323.23,85,73,12.84,1091.38,14.44,1227.55,136.17,323.23,2.05,406.5,53.8,0.365
3-High_1_6_wt,3-High_1,158,25,advance_notice,6,1,1.85,Random,waiting_time,736.04,87,71,12.96,1127.52,14.61,1270.66,143.14,736.04,4.66,447.02,55.1,0.321
3-High_1_1_wt,3-High_1,158,25,fully_online,1,1,1.99,Ranking,waiting_time,143.83,17,141,15.59,265.02,17.01,289.12,24.09,143.83,0.91,0.0,10.8,0.012
